Ticker,Name,Williams %R,EMA,Status
095570,AJ네트웍스,-35.09,4005.08,Neutral
006840,AK홀딩스,-87.22,11719.74,Oversold
027410,BGF,-90.91,4247.53,Oversold
282330,BGF리테일,-49.17,118195.47,Neutral
138930,BNK금융지주,-22.07,11990.61,Neutral
001460,BYC,-64.22,38509.11,Neutral
001465,BYC우,-16.71,21351.31,Overbought
001040,CJ,-42.68,154768.16,Neutral
079160,CJ CGV,-62.7,5046.53,Neutral
00104K,CJ4우(전환),-29.63,127129.56,Neutral
000120,CJ대한통운,-50.53,86584.89,Neutral
011150,CJ씨푸드,-85.71,3010.37,Oversold
011155,CJ씨푸드1우,-68.35,17965.17,Neutral
001045,CJ우,-33.65,83927.81,Neutral
097950,CJ제일제당,-46.15,245326.54,Neutral
097955,CJ제일제당 우,-67.9,145471.47,Neutral
000480,CR홀딩스,-76.19,5475.12,Neutral
000590,CS홀딩스,-65.62,89453.57,Neutral
012030,DB,-71.19,1447.44,Neutral
005830,DB손해보험,-20.71,117371.15,Neutral
016610,DB증권,-40.4,8186.25,Neutral
000990,DB하이텍,-44.25,45728.12,Neutral
000300,DH오토넥스,inf,1984.0,Overbought
001530,DI동일,-18.63,38273.85,Overbought
015590,DKME,inf,515.0,Overbought
000210,DL,-56.41,45057.22,Neutral
000215,DL우,-46.38,23978.48,Neutral
375500,DL이앤씨,-34.48,51480.17,Neutral
37550L,DL이앤씨2우(전환),-34.94,34124.5,Neutral
37550K,DL이앤씨우,-38.6,23216.59,Neutral
007340,DN오토모티브,-61.82,22045.12,Neutral
004840,DRB동일,-31.25,5020.48,Neutral
155660,DSR,-92.5,3986.15,Oversold
069730,DSR제강,-63.64,3715.22,Neutral
017860,DS단석,-96.83,26254.93,Oversold
092780,DYP,-74.6,4523.87,Neutral
017940,E1,-54.17,77875.31,Neutral
365550,ESR켄달스퀘어리츠,-48.84,4243.22,Neutral
383220,F&F,-32.61,77953.05,Neutral
007700,F&F홀딩스,-12.07,18448.81,Overbought
114090,GKL,-66.25,14965.81,Neutral
078930,GS,-85.0,46274.31,Oversold
006360,GS건설,-94.67,22290.74,Oversold
001250,GS글로벌,-65.12,2694.84,Neutral
007070,GS리테일,-67.06,16562.87,Neutral
078935,GS우,-51.11,42288.96,Neutral
499790,GS피앤엘,-20.59,34861.29,Neutral
012630,HDC,-53.97,22411.96,Neutral
039570,HDC랩스,-69.44,9386.5,Neutral
089470,HDC현대EP,-75.68,3932.21,Neutral
294870,HDC현대산업개발,-79.78,24727.52,Neutral
009540,HD한국조선해양,-43.12,360301.16,Neutral
267250,HD현대,-63.64,126818.2,Neutral
267270,HD현대건설기계,-51.95,75062.98,Neutral
443060,HD현대마린솔루션,-33.6,200310.89,Neutral
071970,HD현대마린엔진,-44.22,49990.25,Neutral
